,DATA,TMAX,TMIN,UR,VENTO,RAD,ANO,MES
0,1992-01-01,28.77,18.95,80.06,1.75,20.85,1992,Jan
1,1992-01-02,28.58,18.12,80.81,1.4,20.77,1992,Jan
2,1992-01-03,29.19,19.32,80.81,1.8,18.63,1992,Jan
3,1992-01-04,26.73,20.15,87.81,1.29,11.58,1992,Jan
4,1992-01-05,29.22,19.72,80.75,1.77,22.73,1992,Jan
5,1992-01-06,29.46,17.04,73.5,2.03,28.13,1992,Jan
6,1992-01-07,30.24,15.89,71.56,1.6,29.0,1992,Jan
7,1992-01-08,31.42,16.91,71.5,1.14,28.42,1992,Jan
8,1992-01-09,30.2,19.22,75.62,1.1,21.44,1992,Jan
9,1992-01-10,30.63,20.38,73.81,1.59,25.02,1992,Jan
10,1992-01-11,29.26,19.19,76.19,1.3,23.05,1992,Jan
11,1992-01-12,27.69,19.74,80.44,1.11,19.16,1992,Jan
12,1992-01-13,29.18,17.66,76.94,0.8,21.84,1992,Jan
13,1992-01-14,30.38,19.43,78.62,1.16,22.75,1992,Jan
14,1992-01-15,32.56,20.59,71.19,0.73,20.56,1992,Jan
15,1992-01-16,29.1,18.51,77.5,3.48,23.43,1992,Jan
16,1992-01-17,27.51,18.29,79.62,4.21,17.23,1992,Jan
17,1992-01-18,27.21,19.33,82.94,2.33,19.8,1992,Jan
18,1992-01-19,28.23,18.89,80.88,1.97,18.42,1992,Jan
19,1992-01-20,28.7,18.32,79.38,2.79,22.08,1992,Jan
20,1992-01-21,29.06,18.82,82.94,2.09,15.69,1992,Jan
21,1992-01-22,28.21,17.88,84.38,1.52,9.55,1992,Jan
22,1992-01-23,28.94,16.99,78.38,1.12,23.32,1992,Jan
23,1992-01-24,29.48,19.01,79.94,1.99,23.01,1992,Jan
24,1992-01-25,29.98,20.87,78.38,1.81,20.88,1992,Jan
25,1992-01-26,30.39,19.19,73.62,0.64,25.74,1992,Jan
26,1992-01-27,30.5,20.61,70.25,0.77,25.84,1992,Jan
27,1992-01-28,31.63,19.61,73.75,1.06,28.08,1992,Jan
28,1992-01-29,30.14,20.05,77.88,1.24,23.19,1992,Jan
29,1992-01-30,30.19,19.24,77.81,1.13,17.44,1992,Jan
30,1992-01-31,27.2,20.34,87.19,2.28,13.32,1992,Jan
31,1992-02-01,25.99,20.58,87.69,3.24,13.97,1992,Fev
32,1992-02-02,23.03,19.47,91.25,2.78,9.28,1992,Fev
