DATA,P_RioBranco,P_Maceio,P_Macapa,P_Manaus,P_Salvador,P_Fortaleza,P_Brasilia,P_Vitoria,P_Goiania,P_SaoLuis,P_Cuiaba,P_CampoGrande,P_BeloHorizonte,P_Belem,P_JoaoPessoa,P_Curitiba,P_Recife,P_Teresina,P_RioDeJaneiro,P_Natal,P_PortoAlegre,P_PortoVelho,P_BoaVista,P_Florianopolis,P_SaoPaulo,P_Aracaju,P_Palmas
1992-01-01,12.74,0.29,0.37,0.0,0.18,0.12,4.37,3.55,4.66,0.0,3.82,1.44,5.73,2.47,0.25,2.07,0.24,0.0,6.77,0.3,5.69,6.64,0.27,9.07,2.6,0.0,2.04
1992-01-02,2.79,0.24,0.9,1.47,0.01,0.02,7.39,4.05,8.46,0.0,2.31,4.63,5.01,9.11,0.07,3.87,0.11,0.04,7.18,0.04,3.69,2.27,0.46,15.59,5.59,0.0,1.35
1992-01-03,1.97,0.04,1.88,2.42,0.0,0.0,1.78,1.87,2.76,0.0,10.09,15.71,13.01,3.43,0.17,3.39,0.02,0.01,5.41,0.12,0.48,8.02,0.34,0.97,2.99,0.0,0.29
1992-01-04,1.75,0.09,1.19,2.62,0.0,0.0,6.33,0.98,18.6,0.0,0.06,19.57,16.35,8.63,0.0,0.2,0.02,0.0,11.98,0.03,0.0,6.22,0.28,0.0,15.92,0.0,3.87
1992-01-05,13.77,0.01,0.43,0.72,0.0,0.0,4.9,20.97,9.49,0.0,1.42,5.73,25.07,7.43,0.0,0.41,0.03,0.0,7.6,0.07,0.23,1.15,0.85,0.51,2.15,0.0,3.91
1992-01-06,1.25,0.01,2.36,1.26,0.0,0.09,10.32,1.69,1.4,0.0,3.79,5.97,4.56,12.37,0.0,0.12,0.1,0.0,4.81,0.27,0.19,2.94,0.71,0.22,0.6,0.0,3.65
1992-01-07,0.75,0.34,2.4,16.52,0.18,0.01,3.04,2.17,5.29,0.04,3.7,1.56,3.33,12.03,0.0,0.9,0.12,0.93,1.23,0.05,0.05,7.44,1.12,0.43,0.24,0.0,11.58
1992-01-08,7.41,0.0,1.86,6.82,2.54,0.0,18.68,1.05,16.74,0.03,5.2,20.34,5.61,9.99,0.0,9.44,0.19,2.56,0.32,0.04,2.9,39.22,1.4,2.58,0.21,0.01,2.51
1992-01-09,8.67,0.05,2.86,3.98,2.1,0.0,5.22,13.22,3.38,0.0,21.05,20.27,14.64,8.19,0.03,4.85,0.09,0.44,3.35,0.12,0.22,4.63,0.28,5.35,3.49,0.0,8.83
1992-01-10,24.22,0.08,2.12,6.63,2.17,0.0,17.35,10.15,14.49,0.09,6.01,14.74,3.37,5.36,0.07,1.85,0.11,1.58,5.4,0.12,1.25,4.27,0.09,1.64,0.46,0.0,5.07
1992-01-11,20.56,0.24,3.64,4.58,7.34,0.01,6.0,3.14,8.19,1.06,20.77,13.8,3.32,10.63,0.0,0.99,0.49,0.77,0.51,0.22,0.5,4.42,1.29,3.66,1.09,0.01,6.74
1992-01-12,15.65,0.17,6.46,1.69,10.72,0.02,19.96,7.86,17.29,0.0,6.54,8.82,30.7,2.78,0.24,7.87,2.36,0.02,0.9,1.01,0.04,26.25,0.04,6.62,9.63,0.13,5.85
1992-01-13,26.26,0.07,3.95,2.26,10.16,0.0,9.0,12.76,9.21,0.0,24.66,8.95,41.95,3.0,0.16,4.11,0.6,0.0,2.42,0.56,3.66,13.92,0.0,4.06,9.77,0.07,9.24
1992-01-14,8.07,0.07,4.39,3.76,3.02,0.0,8.59,8.75,11.78,0.0,14.28,9.15,20.2,3.93,0.03,0.7,0.42,0.93,2.69,0.02,0.24,2.81,0.0,0.87,8.32,0.16,9.76
1992-01-15,14.83,0.05,1.77,1.75,2.81,0.0,10.65,4.33,20.73,0.0,11.02,14.36,32.31,1.91,0.0,6.65,0.22,2.88,3.3,0.17,1.36,4.35,0.18,4.46,3.51,0.06,4.7
